id,water,cloud
0,0,1
1,1,0
2,0,0
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,0
9,1,0
10,1,0
11,0,1
12,0,0
13,0,1
14,0,1
15,0,0
16,0,0
17,0,1
18,0,1
19,0,0
20,1,1
21,1,1
22,0,1
23,0,0
24,0,0
25,0,1
26,1,0
27,0,0
28,1,0
29,0,0
30,0,0
31,1,1
32,1,1
33,1,0
34,0,0
35,0,0
36,0,1
37,1,0
38,0,0
39,1,0
40,0,1
41,0,0
42,0,0
43,1,1
44,0,1
45,0,0
46,1,0
47,0,1
48,1,0
49,0,0
50,1,1
51,1,1
52,0,0
53,0,0
54,1,1
55,0,0
56,0,1
57,1,1
58,1,0
59,1,1
60,0,0
61,0,0
62,1,1
63,1,1
64,0,1
65,1,0
66,1,0
67,1,1
68,1,1
69,0,0
70,1,1
71,0,0
72,0,0
73,1,1
74,0,1
75,1,0
76,0,0
77,1,0
78,0,1
79,1,0
80,0,0
81,1,1
82,0,0
83,0,1
84,1,0
85,0,0
86,1,0
87,0,1
88,1,0
89,1,1
90,0,1
91,1,1
92,0,0
93,1,0
94,1,0
95,1,1
96,1,0
97,0,0
98,1,0
99,1,1
100,0,1
101,0,0
102,1,1
103,1,1
104,0,1
105,0,1
106,0,0
107,0,1
108,1,0
109,0,0
110,1,0
111,1,1
112,0,0
113,1,1
114,0,1
115,0,1
116,0,0
117,0,1
118,1,0
119,1,0
120,1,0
121,1,1
122,0,1
123,0,0
124,1,0
125,1,1
126,1,1
127,0,1
128,0,0
129,0,1
130,1,0
131,0,0
132,1,0
133,1,0
134,1,0
135,0,1
136,0,0
137,1,0
138,0,1
139,0,1
140,1,1
141,0,1
142,0,0
143,0,1
144,0,1
145,1,0
146,1,0
147,0,0
148,1,1
149,0,0
150,0,0
151,0,0
152,1,1
153,0,1
154,1,0
155,0,1
156,1,0
157,1,1
158,0,0
159,0,1
160,1,1
161,1,0
162,1,0
163,0,1
164,1,0
165,0,1
166,0,1
167,0,1
168,1,1
169,1,0
170,1,0
171,1,1
172,0,1
173,1,0
174,1,1
175,1,1
176,1,1
177,0,0
178,1,0
179,1,0
180,0,0
181,0,1
182,1,0
183,0,0
184,0,0
185,1,0
186,0,0
187,0,0
188,0,1
189,1,1
190,1,0
191,1,0
192,0,1
193,0,0
194,0,0
195,0,1
196,1,1
197,0,0
198,0,0
199,1,1
200,0,0
201,0,1
202,1,1
203,0,0
204,0,0
205,1,1
206,1,1
207,1,0
208,1,1
209,0,0
210,1,0
211,0,0
212,0,1
213,1,1
214,0,1
215,1,1
216,0,0
217,0,1
218,0,0
219,1,1
220,0,1
221,1,1
222,0,0
223,1,1
224,0,1
225,0,0
226,1,0
227,1,0
228,0,1
229,0,1
230,1,1
231,0,0
232,1,0
233,0,0
234,0,1
235,0,0
236,0,0
237,0,0
238,1,0
239,1,0
240,0,1
241,0,0
242,1,0
243,1,0
244,1,0
245,0,0
246,1,0
247,0,1
248,0,0
249,0,1
250,1,0
251,1,0
252,1,1
253,1,0
254,1,1
255,1,0
256,1,0
257,1,1
258,1,0
259,1,0
260,0,0
261,0,1
262,1,1
263,1,1
264,0,1
265,1,0
266,1,0
267,1,0
268,0,1
269,1,0
270,1,0
271,0,1
272,1,1
273,0,0
274,0,0
275,0,0
276,0,1
277,0,1
278,1,0
279,1,1
280,0,1
281,0,1
282,0,0
283,1,0
284,1,0
285,0,0
286,0,0
287,1,0
288,0,1
289,0,0
290,0,1
291,0,0
292,0,0
293,1,1
294,1,0
295,0,1
296,0,0
297,1,1
298,1,1
299,1,0
300,1,0
301,1,1
302,0,0
303,1,1
304,1,1
305,0,1
306,1,0
307,0,1
308,0,1
309,0,0
310,1,0
311,0,0
312,1,0
313,0,0
314,1,0
315,1,0
316,0,0
317,0,1
318,0,0
319,1,0
320,1,0
321,1,1
322,1,0
323,0,1
324,0,1
325,0,0
326,1,1
327,0,1
328,0,1
329,1,1
330,1,1
331,1,0
332,0,0
333,1,1
334,0,1
335,0,0
336,1,1
337,1,1
338,0,0
339,1,0
340,1,0
341,0,1
342,1,1
343,1,0
344,1,0
345,0,1
346,1,0
347,0,0
348,1,0
349,0,1
350,1,1
351,0,0
352,0,1
353,1,1
354,0,1
355,1,0
356,0,1
357,0,0
358,0,1
359,1,1
360,1,1
361,0,0
362,1,1
363,0,1
364,1,0
365,1,1
366,0,0
367,1,0
368,0,0
369,0,1
370,0,0
371,0,0
372,0,1
373,1,0
374,0,1
375,0,1
376,1,0
377,1,0
378,0,1
379,1,1
380,1,0
381,1,1
382,0,0
383,1,0
384,1,1
385,1,0
386,0,0
387,1,0
388,0,0
389,0,1
390,0,1
391,1,0
392,0,0
393,0,1
394,0,0
395,1,1
396,1,1
397,1,0
398,1,0
399,0,0
400,0,1
401,0,1
